Nome Asset,descrizione,"wireframe di referenza ",Text,File Master,File Ottimizzato,Categoria
tasto ( L) link,"icona unica per ogni link ; esempio faccina discord , spazio rotondo .",5,,,,
tasto ( ? ) informazioni,,5,,,,
mi serviranno “call to action”  👈,"da mostrare in questa pagina (5) , possono essere inerenti a qualsiasi cosa e dovrebbero rispecchiare il motivo principale per il quale esiste il sito ",5,,,,
"griglia calendario ","dividere in base sfondo , e colonne singolo mese (possono essere 12 uguali o tematiche) ",5,,,,
"corniciona item detail ",anche qui decidi tu ( consiglio seguire scelte prese per cornici precedenti),4,,,,
cluster espansi,"anche qui decidi tu se mettere solo immagine su immagine o fare come per le cornici dei cluster macro , ma nella disposizione a 5 campi visibili ,vedi wireframe 3)",3,,,,
tasto ( C ) carrell,"apre il form di comunicazione , e se esistente contiente il carrello , al passaggio di item nel carrello questo tasto cambia e diventa rappresentante il numero di item contenuti (( posso applicare il tuo font qui ))","all not hero ( first seen at 2) ",,,,
cornice cluster personalizzata ? o previev senza bordi? nel caso mi servono almeno due versioni come nel mio wireframe,,2,,,,
descrizioni clusters macro ( con titoli ) 👈,(puoi usare il campo text),2,"1) B/N 2) NeON 3) fOtO 4) Cose.5) rumore ",,,
warning iniziale  👈,me ne servono 4/5 vorrei provare a far ein modo si alternino (massimo 20 caratteri),1,,,,
"descrizione modalità shop , con metodi pagamento e invio merce  👈",,,,,,
tasto ( X ) escsco,"questo mi serve sia estremamente intuitivo , potremmo considerare anche roba tipo teschio su tibie incrociate , ma bisogna mantenere altà leggibilità del simbolo ",7,,,,
"tasto ( V ) invia ","tasto di invio form ( va bene della dimensioni degli altri , tanto sono in svg  e posso stretcharli un bel po ",7,,,,
taso ( A ) allega,simbolo comune “graffetta” “quadrato aperto lato superiore con frecca che esce “,7,,,,
"cornici interne form comunicazione? ","anche qui a tua scelta , in questo caso dovrebbero essere estremamente sottili , potresti disegnare l’intero form (senza elementi) o solo la cornice al riquadro piu esterno ",7,,,,
"form di comunicazione ( navigzione da tasto C ) ","cornice personalizzata? ( questa schermata oscura il sito sottostante , dovrà far contrasto sopra al sito “sfumato” ",7,,,,
"sfondo o cornice carddettaglio evento ","potrebbe seguire lo stile del calendario (cornice campi interni ? ) ",6,,,,
"tasto ( P ) purchase pre-order ",,5,,,,
tasto (S) share,,5,,,,
